"trade_id,""type"",""stop_loss_pct"",""date"",""return_pct_absolute"",""return_pct"",""iv"",""equity"",""high_watermark"",""drawdown"",""loss"",""roll_vol"",""roll_sharpe"",""roll_dd"""
"1,""SHORT "",8.48,2021-11-15,15.43,9.1,1.090978774,1.090978774,1.090978774,0,FALSE,NA,NA,NA"
"2,""SHORT2"",28.28,2021-11-26,8.16,2.89,1.028854314,1.12245821811233,1.12245821811233,0,FALSE,NA,NA,NA"
"3,""LONG"",15.05,2021-12-11,-6.46,-2.15,0.978538206,1.0983682510616,1.12245821811233,-0.021461794,TRUE,NA,NA,NA"
"4,""SHORT "",8.69,2021-12-17,-5.88,-3.38,0.966168009,1.061208266277,1.12245821811233,-0.0545676897785481,TRUE,NA,NA,NA"
"5,""LONG"",14.23,2021-12-21,-2.83,-0.99,0.990056219,1.05065584368175,1.12245821811233,-0.0639688616217144,TRUE,NA,NA,NA"
"6,""SHORT "",13.32,2021-12-28,10.11,3.8,1.03795045,1.0905287057446,1.12245821811233,-0.028446058706246,FALSE,NA,NA,NA"
"7,""LONG"",7.43,2022-01-11,-1.13,-0.76,0.992395693,1.0822359906738,1.12245821811233,-0.0358340531429039,TRUE,NA,NA,NA"
"8,""SHORT "",5.21,2022-01-17,13.09,12.56,1.1256238,1.21819058831901,1.21819058831901,0,FALSE,NA,NA,NA"
"9,""LONG"",10.28,2022-01-24,10.43,5.07,1.050729572,1.27998887547886,1.27998887547886,0,FALSE,NA,NA,NA"
"10,""LONG2"",20.75,2022-02-04,-2.46,-1.19,0.988144578,1.26481406720476,1.27998887547886,-0.011855422,TRUE,NA,NA,NA"
"11,""SHORT "",10.43,2022-02-17,5.64,2.7,1.027037392,1.29901134094689,1.29901134094689,0,FALSE,NA,NA,NA"
"12,""LONG"",4.97,2022-02-22,-4.97,-5,0.95,1.23406077389954,1.29901134094689,-0.0500000000000001,TRUE,NA,NA,NA"
"13,""LONG"",12.51,2022-02-25,-2.02,-0.81,0.991926459,1.22409753364497,1.29901134094689,-0.0576698639500002,TRUE,NA,NA,NA"
"14,""SHORT "",17.93,2022-03-06,-0.82,-0.23,0.99771333,1.22129842653771,1.29901134094689,-0.0598246620022016,TRUE,NA,NA,NA"
"15,""LONG"",4.09,2022-03-08,0,0,1,1.22129842653771,1.29901134094689,-0.0598246620022016,FALSE,NA,NA,NA"
"16,""SHORT "",9.97,2022-03-11,-7.91,-3.97,0.960330993,1.1728507307063,1.29901134094689,-0.0971204840664636,TRUE,NA,NA,NA"
"17,""LONG"",11.07,2022-03-18,-1.32,-0.6,0.99403794,1.16585812427878,1.29901134094689,-0.10250350591323,TRUE,NA,NA,NA"
"18,""SHORT "",2.82,2022-03-20,-2.82,-5,0.95,1.10756521806484,1.29901134094689,-0.147378330617569,TRUE,NA,NA,NA"
"19,""SHORT "",5.97,2022-03-31,5.11,4.28,1.04279732,1.15496604112324,1.29901134094689,-0.110888408194075,FALSE,NA,NA,NA"
"20,""SHORT2"",11.67,2022-04-06,8.12,6.96,1.06958012,1.23532871686052,1.29901134094689,-0.0490239169428274,FALSE,NA,NA,NA"
"21,""LONG"",5.76,2022-05-04,-5.76,-5,0.95,1.17356228101749,1.29901134094689,-0.0965727210956861,TRUE,NA,NA,NA"
"22,""SHORT "",32.03,2022-05-05,17.79,2.78,1.02777084,1.20615309135366,1.29901134094689,-0.071483786681599,FALSE,NA,NA,NA"
"23,""LONG"",15.43,2022-05-14,-3.17,-1.03,0.989727803,1.19376324918712,1.29901134094689,-0.0810216881424996,TRUE,NA,NA,NA"
"24,""SHORT "",8.01,2022-05-23,0.24,0.15,1.001498127,1.19555165814233,1.29901134094689,-0.0796449419210915,FALSE,NA,NA,NA"
